Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-6773,1376206,18/May/18 2:09 PM,AAKO-3967,24/Apr/18 11:55 AM,[TESTING] HTD Commission - Previous Earnings ,Open,,CSS,,,,,,,,,,,Lannister,,,,,,,,CSS,,,,,,,,,,,
Story,AAKO-6753,1374979,09/May/18 6:16 PM,AAKO-3963,24/Apr/18 8:34 AM,Update Invoice Realignment to Cancel and Realign in Closed Periods  ,Completed,Done,Spine,,8.0,,PI-B,Spine,,,,,,Targaryen,,Done,09/May/18 6:16 PM,AAKO-Targaryen - Bandhavgarh.2,,,,Spine,,,,,,,,,,,
Story,AAKO-6750,1374007,06/Jun/18 6:55 PM,AAKO-3971,23/Apr/18 2:15 PM,Zipcode Level Sales Adjustments ,Open,,MIT,,,,Mitek,,,,,,,Targaryen,,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-6749,1373385,06/Jun/18 6:58 PM,AAKO-3958,23/Apr/18 1:34 PM,Exceptions for Customer to Geography Primary Flag ,Open,,Trauma,,,,,,,,,,,Targaryen,,,,,,,,Trauma,,,,,,AAKO-5991,,,,,
Story,AAKO-6715,1367462,26/Apr/18 11:44 AM,AAKO-3983,19/Apr/18 9:57 AM,B.1 Updates & Enhancements (pt 1),Completed,Done,Spine,,2.0,,Spine,,,,,,,Stark,,Done,26/Apr/18 11:44 AM,Stark - Bandhavgarh.1,,,,Spine,,,,AAKO-6310,,,,,,,
Story,AAKO-6714,1366220,11/Jun/18 9:22 AM,AAKO-3983,18/Apr/18 4:10 PM,CPD: Earnings Drill Down Details for Growth: Sales Up To Baseline * Rate,Open,,MIT,,,,MIT,,,,,,,Stark,,,,,,,,MIT,,,,AAKO-5129,,,,,,,
Story,AAKO-6697,1362443,11/Jun/18 12:08 PM,AAKO-28,17/Apr/18 3:11 PM,Dynamically credit quota for future months at processing month alignment (SD),Completed,Done,Spine,,5.0,,PI-B,Spine,,,,,,Targaryen,,Done,31/May/18 6:53 AM,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,,,AAKO-6695,,,,,,,
Story,AAKO-6695,1362439,11/Jun/18 12:08 PM,AAKO-3983,17/Apr/18 2:53 PM,Full-year Quota & Baseline View by Region / Area,Open,,Spine,,,,Spine,,,,,,,Stark,,,,AAKO - Stark - C.1,,,,Spine,,,,,,AAKO-6697,,,,,
Story,AAKO-6691,1361901,26/Apr/18 11:42 AM,,17/Apr/18 11:01 AM,Update Archival process for current progress dashboard sales & Quota,Completed,Done,Spine,,5.0,,Spine,,,,,,,Stark,,Done,26/Apr/18 11:42 AM,Stark - Bandhavgarh.1,,,,Spine,,,,,,,,,,,
Story,AAKO-6683,1358291,01/Jun/18 8:58 AM,AAKO-3982,16/Apr/18 10:16 AM,Internal Impersonation Ability - Sync up Read-Only Portal Views before Spine Go-Live,Open,,Spine,,5.0,,FirstBU,,,,,,,Mormont,,,,AAKO - Mormont - Corbett.4,,,,Spine,,,,,,,,,,,
Story,AAKO-6680,1358042,16/May/18 7:54 AM,AAKO-3984,16/Apr/18 8:38 AM,Statements - PAID Table setup (Lannister),Completed,Done,Spine,,3.0,,PI-B,Spine,,,,,,Stark,,Done,16/May/18 7:54 AM,Stark - Bandhavgarh.3,,,,Spine,,,,,,,,,,,
Story,AAKO-6401,1349441,16/May/18 6:26 AM,AAKO-22,11/Apr/18 3:46 PM,[TESTING] Customer Sales Adjustment  - Participant SD Crediting Regression,Completed,Done,Spine,,5.0,,DPS,PI-B,,,,,,Targaryen,,Done,16/May/18 6:26 AM,AAKO-Targaryen - Bandhavgarh.2,AAKO-Targaryen - Bandhavgarh.3,,,Spine,,,,,,,,,,,
Story,AAKO-6400,1349438,08/May/18 8:37 AM,AAKO-22,11/Apr/18 3:39 PM,Create Customer Sales Adjustments - Update SD Crediting Process ,Completed,Done,Spine,,3.0,,DPS,PI-B,,,,,,Targaryen,,Done,08/May/18 8:37 AM,AAKO-Targaryen - Bandhavgarh.2,,,,Spine,,,,,,,,,,,
Story,AAKO-6399,1349435,25/Apr/18 4:19 PM,AAKO-22,11/Apr/18 3:35 PM,Create Customer Sales Adjustments - Select Customer Adj - Post for Deltas  SD,Completed,Done,Spine,,5.0,,DPS,,,,,,,Targaryen,,Done,25/Apr/18 4:19 PM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,,AAKO-6179,,,,,
Story,AAKO-6398,1349431,01/Jun/18 12:15 PM,AAKO-22,11/Apr/18 3:29 PM,Update to GEO Sales Load - Force Product,Completed,Done,Spine,,3.0,,DPS,PI-B,,,,,,Targaryen,,Done,01/Jun/18 12:15 PM,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,,,,,,,,,,
Story,AAKO-6397,1349425,11/Jun/18 1:17 PM,AAKO-22,11/Apr/18 3:24 PM,"Maintain ""Dummy"" Prod Hierarchy ",Open,,LastBu,,8.0,,LastBU,,,,,,,Targaryen,,,,,,,,LastBu,,,,,,,,,,,
Story,AAKO-6377,1344790,29/May/18 3:58 PM,AAKO-4099,10/Apr/18 1:38 PM,Expansion Category RM and AVP Impact -Release Sales at EOY,Open,,Trauma,,5.0,,DPS,,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,Trauma,,,,,,AAKO-6376,AAKO-3864,,,,
Story,AAKO-6376,1344782,24/May/18 6:50 AM,AAKO-4099,10/Apr/18 1:34 PM,Expansion Category RM and AVP Impact - Roll-Up Sales and View Progress to add to VC- Analyst View,Completed,Done,Spine,,5.0,,DPS,PI-B,,,,,,Targaryen,,Done,24/May/18 6:50 AM,AAKO-Targaryen - Bandhavgarh.3,,,,Spine,,,,,,AAKO-3864,,,,,
Story,AAKO-6375,1344764,29/May/18 3:58 PM,AAKO-4099,10/Apr/18 1:25 PM,Quota Attainment: REP Level Core + Expansion Category  (EOY Add Sales to Core),Open,,Trauma,,5.0,,DPS,,,,,,,Targaryen,,,,AAKO-Targaryen - C1,,,,Trauma,,,,,,AAKO-434,,,,,
Story,AAKO-6334,1331571,23/Apr/18 12:28 PM,AAKO-3958,05/Apr/18 9:58 AM,Customer to Geography Primary Flag - Ethicon Process  (4),Open,,ETH,,13.0,,Ethicon,,,,,,,Targaryen,,,,,,,,ETH,,,,,,AAKO-6332,AAKO-5991,,,,
Story,AAKO-6333,1331562,22/May/18 5:11 PM,AAKO-3958,05/Apr/18 9:55 AM,Customer to Geography Primary Flag - SOX ,Completed,Done,Spine,,5.0,,PI-B,Spine,,,,,,Targaryen,,Done,22/May/18 5:11 PM,AAKO-Targaryen - Bandhavgarh.3,,,,Spine,,,,,,AAKO-5991,,,,,
Story,AAKO-6332,1331553,01/Jun/18 3:44 PM,AAKO-3958,05/Apr/18 9:49 AM,Customer to GEO Primary Flag Workflow,Completed,Done,Spine,,8.0,,PI-B,Spine,,,,,,Targaryen,,Done,01/Jun/18 3:44 PM,AAKO-Targaryen - Bandhavgarh.4,,,,Spine,,,,,,AAKO-5991,,,,,
Story,AAKO-6324,1326883,29/May/18 1:21 PM,AAKO-2277,04/Apr/18 1:47 PM,[DELETE - N/A?? (covered by Quota Approvals)] an approval workflow to approve all prior year sales adjustments,Open,,Spine,,8.0,,FirstBU,PI-B,,,,,,Mormont,,,,,,,,Spine,,,,AAKO-4871,,,,,,,
Story,AAKO-6323,1326882,16/May/18 9:55 AM,AAKO-2277,04/Apr/18 1:46 PM,an approval workflow to approve all Payment Adjustments,Completed,Done,Spine,,8.0,,FirstBU,PI-B,,,,,,Mormont,,Done,16/May/18 9:55 AM,AAKO - Mormont - Bandhavgarh.3,,,,Spine,,,,AAKO-4871,,,,,,,
Story,AAKO-6322,1326881,29/May/18 1:00 PM,AAKO-2277,04/Apr/18 1:45 PM,an approval workflow to approve all Sales Adjustments,Open,,Spine,,8.0,,FirstBU,PI-B,,,,,,Mormont,,,,AAKO - Mormont - Corbett.1,,,,Spine,,,,AAKO-4871,,,,,,,
Story,AAKO-6320,1327214,26/Apr/18 11:43 AM,AAKO-3983,04/Apr/18 1:20 PM,Build Process to for Uploading Documents and Visibility in Portal,Completed,Done,Spine,,13.0,,DPS,FirstBU,,,,,,Stark,,Done,26/Apr/18 11:43 AM,Stark - Bandhavgarh.1,,,,Spine,,,,AAKO-5041,,,,,,,
Story,AAKO-6314,1326955,20/Apr/18 9:41 AM,AAKO-4099,04/Apr/18 12:27 PM,Expansion Category:  Setup Parameters to link Exp Component to Quota Component,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Targaryen,,Done,20/Apr/18 9:41 AM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,,,,,,,
Story,AAKO-6310,1325269,07/May/18 11:32 AM,AAKO-3983,04/Apr/18 10:55 AM,B.1 Updates & Enhancements (pt 2) - Invoice Realignment,Completed,Done,Spine,,3.0,,Spine,,,,,,,Stark,,Done,07/May/18 11:32 AM,Stark - Bandhavgarh.2,,,,Spine,,,,AAKO-6204,,,,,,,
Story,AAKO-6307,1322950,24/Apr/18 6:41 PM,AAKO-4889,03/Apr/18 4:13 PM,Map Synthes Territory ID to DePuy Geography + Add UCN,Completed,Done,Spine,,8.0,,FirstBU,,,,,,,Targaryen,,Done,24/Apr/18 6:41 PM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,,,,,,,
Story,AAKO-6233,1312718,12/Apr/18 7:11 AM,AAKO-4906,29/Mar/18 9:05 AM,Improving Portal Processing Time ,Completed,Done,Spine,,13.0,,spine,,,,,,,Lannister,,Done,12/Apr/18 7:11 AM,AAKO - Lannister -B'ghar.IP,,,,Spine,,,,,,,,,,,
