Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-6087,1282710,29/Mar/18 9:39 AM,AAKO-3983,15/Mar/18 11:20 AM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 5 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,29/Mar/18 9:39 AM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-6086,,,,,,,
Story,AAKO-6086,1282709,29/Mar/18 9:39 AM,AAKO-3983,15/Mar/18 11:20 AM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 4 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,29/Mar/18 9:39 AM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-6085,,,,,,,
Story,AAKO-6085,1282707,23/Mar/18 4:00 PM,AAKO-3983,15/Mar/18 11:19 AM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 3 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,23/Mar/18 4:00 PM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-6084,,,,,,,
Story,AAKO-6084,1282706,23/Mar/18 3:55 PM,AAKO-3983,15/Mar/18 11:19 AM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 2 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,23/Mar/18 3:55 PM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-5992,,,,,,,
Story,AAKO-5998,1282002,28/Mar/18 9:49 AM,AAKO-4906,15/Mar/18 8:20 AM,Apply Primary Geo flag to Component Earnings Adjustment process,Completed,Done,Spine,,13.0,,Spine,,,,,,,Lannister,,Done,28/Mar/18 9:49 AM,AAKO - Lannister - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-5996,1281878,23/Mar/18 10:44 AM,AAKO-4906,15/Mar/18 8:02 AM,Draw calculations Update for Mid-month start/end scenarios,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Lannister,,Done,23/Mar/18 10:44 AM,AAKO - Lannister - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-5993,1280680,27/Mar/18 3:11 PM,AAKO-3983,14/Mar/18 3:19 PM,Field Portal - A.3 Updates & Enhancements,Completed,Done,Spine,,1.0,,Spine,,,,,,,Stark,,Done,27/Mar/18 3:11 PM,AAKO - Stark - Acadia.4,,,,Spine,,,AAKO-5948,,,,,,,
Story,AAKO-5992,1276350,23/Mar/18 3:55 PM,AAKO-3983,13/Mar/18 2:35 PM,Enhancement Placeholder - all align Sales Transaction - DTP (Delta Logic) Part 1 ,Completed,Done,Spine,,5.0,,FirstBU,,,,,,,Stark,,Done,23/Mar/18 3:55 PM,AAKO - Stark - Acadia.4,,,,Spine,,,,,,,,,,
Story,AAKO-5991,1274048,25/Apr/18 4:11 PM,AAKO-3958,12/Mar/18 4:51 PM,Customer to Geography Primary Flag - MainStory Portal View / Bulk Upload,Completed,Done,Spine,,5.0,,Spine,,,,,,,Targaryen,,Done,25/Apr/18 4:11 PM,AAKO-Targaryen - Bandhavgarh.1,,,,Spine,,,,,,,,,,
Story,AAKO-5989,1269893,28/Mar/18 2:50 PM,AAKO-3963,09/Mar/18 3:09 PM,View and Mtn (Cancel) Previously Realigned Invoices,Completed,Done,Spine,,13.0,,FirstBU,,,,,,,Targaryen,,Done,28/Mar/18 2:50 PM,AAKO - Targaryen - Acadia.4,,,,Spine,,,,,AAKO-5778,,,,,
