Issue Type,Issue key,Issue id,Updated,Custom field (Epic Link),Created,Summary,Status,Resolution,Affects Version/s,Affects Version/s,Custom field (Story Points),Custom field (Epic Name),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Custom field (Issue Resolution),Resolved,Sprint,Sprint,Custom field (Begin Date),Custom field (End Date),Fix Version/s,Fix Version/s,Outward issue link (Blocks),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Defect),Outward issue link (Dependent),Outward issue link (Dependent),Outward issue link (Gantt: finish-start),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates)
Story,AAKO-8151,1503325,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-Medline (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8150,1503324,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-ICore (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8149,1503323,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-HCS Tracings (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8148,1503322,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-DDD Sales (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8147,1503321,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-CareMed Transfers (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8146,1503320,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-CareMed (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8145,1503319,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-MIT-CareMark (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8144,1503318,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Quota - RAW-Zip Monthly Quota (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8143,1503317,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Product - RAW-MIT-Platform Definition (MIT),Open,,MIT,,2.0,,,,,,,,,Mormont,,,,,,,MIT,,,,,,,,,,,
Story,AAKO-8141,1503315,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-ETH-Sales Adjustments (ETH),Open,,ETH,,2.0,,,,,,,,,Mormont,,,,,,,ETH,,,,,,,,,,,
Story,AAKO-8140,1503314,14/Jun/18 4:59 PM,AAKO-8074,14/Jun/18 4:58 PM,Data Uploads - RAW Portal View + Remap Post: Sales - RAW-CSS-Sales Adjustments (CSS),Open,,CSS,,2.0,,,,,,,,,Mormont,,,,,,,CSS,,,,,,,,,,,
Story,AAKO-8087,1503151,19/Jun/18 12:40 PM,AAKO-4887,14/Jun/18 4:20 PM,Lead Gen / Conversion Workflow for Kickout Reassignments and Team Territory Overrides,Open,,Trauma,,,,Trauma,,,,,,,Targaryen,,,,,,,Trauma,,,,,,,,,,,
Story,AAKO-8085,1502147,14/Jun/18 4:38 PM,AAKO-3957,14/Jun/18 12:32 PM,Recon Sales Exclusions  - Divested Sales Legal Requirements,Open,,Recon - Direct ,,,,Recon,,,,,,,Targaryen,,,,,,,Recon - Direct ,,,,,,,,,,,
Story,AAKO-8052,1494598,25/Jun/18 10:13 AM,AAKO-3982,12/Jun/18 7:43 AM,Deployment Reporting - (2 of 3): Territory Structure Report,Open,,Spine,,,,FirstBU,,,,,,,Stark,,,AAKO - Stark - C.3,,,,Spine,,,,AAKO-8051,,,,,,,
Story,AAKO-8051,1494622,28/Jun/18 4:12 PM,AAKO-3982,12/Jun/18 7:25 AM,Customers Aligned to Participants: Deployment: Account Level Report,Open,,Spine,,8.0,,FirstBU,,,,,,,Stark,,,AAKO - Stark - C.1,,,,Spine,,,,AAKO-5476,,,,,,,
Story,AAKO-8050,1491268,14/Jun/18 4:42 PM,AAKO-4885,11/Jun/18 1:24 PM,Sterilmed(Megadyne) - Load Product Master from PAS Product Hierarchy,Open,,ETH,,,,Ethicon,,,,,,,Targaryen,,,,,,,ETH,,,,,,,,,,,
Story,AAKO-8044,1491214,28/Jun/18 8:19 AM,AAKO-3983,11/Jun/18 12:08 PM,Full-year Quota & Baseline Views - Analyst Access,Open,,Spine,,8.0,,MUST,Spine,,,,,,Stark,,,AAKO - Stark - C.2,,,,Spine,,,,AAKO-6695,,AAKO-6990,AAKO-6697,,,,
